e_y_nm,sigmay_nm,nx,ny,nz,nm,seed,L,solver
8,1.9810,512,256,128,100000000,2,2.347865,3d
8,1.9810,512,256,128,100000000,3,2.348173,3d
4,1.4008,512,256,128,10000000,2,3.519239,3d
4,1.4008,512,256,128,10000000,3,3.518979,3d
4,1.4008,512,256,128,100000000,2,3.521457,3d
4,1.4008,512,256,128,100000000,3,3.521305,3d
2,0.9905,512,256,128,10000000,2,5.267458,3d
2,0.9905,512,256,128,10000000,3,5.258878,3d
2,0.9905,512,256,128,100000000,2,5.272872,3d
2,0.9905,512,256,128,100000000,3,5.272322,3d
1,0.7004,512,256,128,10000000,2,7.864768,3d
1,0.7004,512,256,128,10000000,3,7.846020,3d
1,0.7004,512,256,128,100000000,2,7.867904,3d
1,0.7004,512,256,128,100000000,3,7.868658,3d
20,3.1323,512,32,128,10000,1,1.064730,3d
20,3.1323,512,64,128,10000,1,1.237531,3d
20,3.1323,512,2048,128,10000,1,1.340779,3d
20,3.1323,512,4096,128,10000,1,1.317670,3d
16,2.8016,512,32,128,14000,1,1.198300,3d
16,2.8016,512,64,128,14000,1,1.416659,3d
16,2.8016,512,2048,128,14000,1,1.547002,3d
16,2.8016,512,4096,128,14000,1,1.552903,3d
12,2.4263,512,32,128,22000,1,1.384507,3d
12,2.4263,512,64,128,22000,1,1.645094,3d
12,2.4263,512,2048,128,22000,1,1.786869,3d
12,2.4263,512,4096,128,22000,1,1.793085,3d
8,1.9810,512,32,128,40000,1,1.732163,3d
8,1.9810,512,64,128,40000,1,2.115441,3d
8,1.9810,512,2048,128,40000,1,2.341773,3d
8,1.9810,512,4096,128,40000,1,2.347535,3d
4,1.4008,512,32,128,110000,1,2.513421,3d
4,1.4008,512,64,128,110000,1,3.079218,3d
4,1.4008,512,2048,128,110000,1,3.445491,3d
4,1.4008,512,4096,128,110000,1,3.447178,3d
2,0.9905,512,32,128,310000,1,3.639748,3d
2,0.9905,512,64,128,310000,1,4.504641,3d
2,0.9905,512,2048,128,310000,1,5.177791,3d
2,0.9905,512,4096,128,310000,1,5.174860,3d
1,0.7004,512,32,128,880000,1,5.265547,3d
1,0.7004,512,64,128,880000,1,6.749608,3d
1,0.7004,512,2048,128,880000,1,7.955923,3d
1,0.7004,512,4096,128,880000,1,7.956468,3d
0.5,0.4953,512,32,128,2500000,1,7.579167,3d
0.5,0.4953,512,64,128,2500000,1,9.994226,3d
0.5,0.4953,512,2048,128,2500000,1,11.773721,3d
0.5,0.4953,512,4096,128,2500000,1,11.776787,3d
20,3.1323,512,4096,128,10000,2,1.278801,3d
20,3.1323,512,4096,128,10000,3,1.375297,3d
20,3.1323,512,2048,128,10000,2,1.277448,3d
20,3.1323,512,2048,128,10000,3,1.365241,3d
20,3.1323,512,64,128,10000,2,1.224003,3d
20,3.1323,512,64,128,10000,3,1.250339,3d
20,3.1323,512,64,128,10000,4,1.246356,3d
20,3.1323,512,64,128,10000,5,1.257328,3d
20,3.1323,512,128,128,10000,2,1.260872,3d
20,3.1323,512,128,128,10000,3,1.319640,3d
20,3.1323,512,128,128,10000,4,1.301396,3d
20,3.1323,512,128,128,10000,5,1.327744,3d
16,2.8016,512,4096,128,14000,2,1.505140,3d
16,2.8016,512,4096,128,14000,3,1.539997,3d
16,2.8016,512,2048,128,14000,2,1.516612,3d
16,2.8016,512,2048,128,14000,3,1.530180,3d
16,2.8016,512,64,128,14000,2,1.400269,3d
16,2.8016,512,64,128,14000,3,1.420916,3d
16,2.8016,512,64,128,14000,4,1.433656,3d
16,2.8016,512,64,128,14000,5,1.420431,3d
16,2.8016,512,128,128,14000,2,1.470135,3d
16,2.8016,512,128,128,14000,3,1.502459,3d
16,2.8016,512,128,128,14000,4,1.515213,3d
16,2.8016,512,128,128,14000,5,1.498694,3d
12,2.4263,512,4096,128,22000,2,1.754554,3d
12,2.4263,512,4096,128,22000,3,1.821660,3d
12,2.4263,512,2048,128,22000,2,1.757108,3d
12,2.4263,512,2048,128,22000,3,1.830016,3d
12,2.4263,512,64,128,22000,2,1.631375,3d
12,2.4263,512,64,128,22000,3,1.682578,3d
12,2.4263,512,64,128,22000,4,1.693167,3d
12,2.4263,512,64,128,22000,5,1.670334,3d
12,2.4263,512,128,128,22000,2,1.720901,3d
12,2.4263,512,128,128,22000,3,1.783062,3d
12,2.4263,512,128,128,22000,4,1.787532,3d
12,2.4263,512,128,128,22000,5,1.763960,3d
8,1.9810,512,4096,128,40000,2,2.289805,3d
8,1.9810,512,4096,128,40000,3,2.335018,3d
8,1.9810,512,2048,128,40000,2,2.282027,3d
8,1.9810,512,2048,128,40000,3,2.330222,3d
8,1.9810,512,64,128,40000,2,2.098633,3d
8,1.9810,512,64,128,40000,3,2.125472,3d
8,1.9810,512,64,128,40000,4,2.102754,3d
8,1.9810,512,64,128,40000,5,2.094823,3d
8,1.9810,512,128,128,40000,2,2.225086,3d
8,1.9810,512,128,128,40000,3,2.269780,3d
8,1.9810,512,128,128,40000,4,2.226836,3d
8,1.9810,512,128,128,40000,5,2.201994,3d
4,1.4008,512,4096,128,110000,2,3.436325,3d
4,1.4008,512,4096,128,110000,3,3.396558,3d
4,1.4008,512,2048,128,110000,2,3.434122,3d
4,1.4008,512,2048,128,110000,3,3.388541,3d
4,1.4008,512,64,128,110000,2,3.098951,3d
4,1.4008,512,64,128,110000,3,3.058045,3d
4,1.4008,512,64,128,110000,4,3.108053,3d
4,1.4008,512,64,128,110000,5,3.056074,3d
4,1.4008,512,128,128,110000,2,3.309408,3d
4,1.4008,512,128,128,110000,3,3.261659,3d
4,1.4008,512,128,128,110000,4,3.308983,3d
4,1.4008,512,128,128,110000,5,3.235086,3d
2,0.9905,512,4096,128,310000,2,5.159600,3d
2,0.9905,512,4096,128,310000,3,5.193083,3d
2,0.9905,512,2048,128,310000,2,5.158038,3d
2,0.9905,512,2048,128,310000,3,5.192186,3d
2,0.9905,512,128,128,310000,2,4.894772,3d
2,0.9905,512,128,128,310000,3,4.918101,3d
2,0.9905,512,128,128,310000,4,4.971490,3d
2,0.9905,512,128,128,310000,5,4.795330,3d
2,0.9905,512,256,128,310000,2,5.066115,3d
2,0.9905,512,256,128,310000,3,5.097307,3d
2,0.9905,512,256,128,310000,4,5.153262,3d
2,0.9905,512,256,128,310000,5,4.979862,3d
1,0.7004,512,4096,128,880000,2,7.919461,3d
1,0.7004,512,4096,128,880000,3,7.882661,3d
1,0.7004,512,2048,128,880000,2,7.918588,3d
1,0.7004,512,2048,128,880000,3,7.882047,3d
1,0.7004,512,128,128,880000,2,7.457681,3d
1,0.7004,512,128,128,880000,3,7.379356,3d
1,0.7004,512,128,128,880000,4,7.289117,3d
1,0.7004,512,128,128,880000,5,7.475136,3d
1,0.7004,512,256,128,880000,2,7.789970,3d
1,0.7004,512,256,128,880000,3,7.739931,3d
1,0.7004,512,256,128,880000,4,7.666611,3d
1,0.7004,512,256,128,880000,5,7.787624,3d
0.5,0.4953,512,4096,128,2500000,2,11.790472,3d
0.5,0.4953,512,4096,128,2500000,3,11.777103,3d
0.5,0.4953,512,2048,128,2500000,2,11.790701,3d
0.5,0.4953,512,2048,128,2500000,3,11.775141,3d
0.5,0.4953,512,64,128,2500000,2,9.926883,3d
0.5,0.4953,512,64,128,2500000,3,9.906702,3d
0.5,0.4953,512,64,128,2500000,4,9.994446,3d
0.5,0.4953,512,64,128,2500000,5,9.943546,3d
0.5,0.4953,512,128,128,2500000,2,11.234425,3d
0.5,0.4953,512,128,128,2500000,3,11.198203,3d
0.5,0.4953,512,128,128,2500000,4,11.227711,3d
0.5,0.4953,512,128,128,2500000,5,11.185466,3d
1,0.7004,512,256,128,30000,2,6.796350,3d
1,0.7004,512,256,128,30000,3,7.288185,3d
1,0.7004,512,256,128,30000,4,6.978938,3d
1,0.7004,512,256,128,30000,5,6.644534,3d
1,0.7004,512,256,128,50000,2,6.901053,3d
1,0.7004,512,256,128,50000,3,6.986838,3d
1,0.7004,512,256,128,50000,4,7.347223,3d
